,Form,date,url
0,8-K,2024-05-03,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124024352/ef20028273_8k.htm
1,8-K,2024-05-02,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000067/aapl-20240502.htm
2,8-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124010155/ny20022580x1_8k.htm
3,8-K,2024-02-01,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000005/aapl-20240201.htm
4,8-K,2023-11-02,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000104/aapl-20231102.htm
5,8-K,2023-08-03,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000075/aapl-20230803.htm
6,8-K,2023-05-10,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123023909/ny20007635x4_8k.htm
7,8-K,2023-05-04,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000063/aapl-20230504.htm
8,8-K,2023-03-10,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123011192/brhc10049413_8k.htm
9,8-K,2023-02-02,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000005/aapl-20230202.htm
10,8-K,2022-11-07,https://www.sec.gov/Archives/edgar/data/0000320193/000119312522278435/d400465d8k.htm
11,8-K,2022-10-27,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000107/aapl-20221027.htm
12,8-K,2022-08-19,https://www.sec.gov/Archives/edgar/data/0000320193/000119312522225365/d366128d8k.htm
13,8-K,2022-08-08,https://www.sec.gov/Archives/edgar/data/0000320193/000119312522214914/d297151d8k.htm
14,8-K,2022-07-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000069/aapl-20220728.htm
15,8-K,2022-04-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000058/aapl-20220428.htm
16,8-K,2022-03-04,https://www.sec.gov/Archives/edgar/data/0000320193/000119312522066169/d294699d8k.htm
17,8-K,2022-01-27,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000006/aapl-20220127.htm
18,8-K,2021-11-12,https://www.sec.gov/Archives/edgar/data/0000320193/000119312521328151/d259993d8k.htm
19,8-K,2021-10-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000104/aapl-20211028.htm
20,8-K,2021-08-05,https://www.sec.gov/Archives/edgar/data/0000320193/000119312521237787/d199884d8k.htm
21,8-K,2021-07-27,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000063/aapl-20210727.htm
22,8-K,2021-04-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000055/aapl-20210428.htm
23,8-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/0000320193/000119312521054710/d101693d8k.htm
24,8-K,2021-02-08,https://www.sec.gov/Archives/edgar/data/0000320193/000119312521032394/d70217d8k.htm
25,8-K,2021-01-27,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000009/aapl-20210127.htm
26,8-K,2021-01-05,https://www.sec.gov/Archives/edgar/data/0000320193/000119312521001982/d29637d8k.htm
27,8-K,2020-10-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000094/aapl-20201029.htm
28,8-K,2020-08-20,https://www.sec.gov/Archives/edgar/data/0000320193/000119312520225672/d937363d8k.htm
29,8-K,2020-08-07,https://www.sec.gov/Archives/edgar/data/0000320193/000119312520213158/d49399d8k.htm
30,8-K,2020-07-30,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000060/aapl-20200730.htm
